HV12199 0.421469 49.7 1.8 18.48 0.08 -2.41 -3.01 -3.13   --- -3.80 -3.94 -4.26 0.060  0.035 -0.058
HV12203 0.470427 53.4 2.1 18.64 0.09 -2.71 -3.31 -3.66   --- -4.08 -4.24 -4.37 0.060  0.050 -0.058
HV12202 0.491519 47.8 1.7 18.40 0.08 -2.53 -3.14 -3.60   --- -4.02 -4.09 -4.30 0.060  0.030 -0.058
HV12197 0.497456 46.1 1.3 18.32 0.06 -2.42 -3.07 -3.44   --- -3.87 -4.07 -4.17 0.060 -0.015 -0.057
HV12204 0.536402 45.6 1.0 18.30 0.05 -2.79 -3.33 -3.67   --- -4.07 -4.17 -4.34 0.060  0.015 -0.059
HV12198 0.546887 47.5 0.7 18.38 0.03 -2.63 -3.27 -3.69   --- -4.09 -4.26 -4.36 0.060  0.020 -0.059
HV6093  0.679885 47.2 1.4 18.37 0.06 -3.25 -3.86 -4.21   --- -4.60 -4.79 -4.87 0.058 -0.015 -0.048
HV914   0.837489 57.6 1.1 18.80 0.04 -4.10 -4.79 -5.18 -5.54 -5.59 -5.84 -5.88 0.070 -0.035  0.013
HV2405  0.840331 39.5 0.9 17.98 0.05 -3.06 -3.77 -4.14 -4.52 -4.57 -4.86 -4.86 0.070 -0.015  0.046
HV12452 0.941457 45.9 1.9 18.31 0.09 -3.74 -4.48 -4.94 -5.32 -5.37 -5.62 -5.67 0.058  0.030  0.058
HV12717 0.946628 42.9 2.0 18.16 0.10 -3.62 -4.33 -4.77 -5.14 -5.21 -5.42 -5.51 0.058 -0.005  0.065
HV12816 0.959466 52.0 2.3 18.58 0.09 -4.29 -4.88 -5.24 -5.56 -5.62 -5.79 -5.88 0.070  0.015 -0.075
HV2527  1.112251 55.8 1.3 18.73 0.05 -4.36 -5.21 -5.66 -6.09 -6.15 -6.51 -6.49 0.070  0.005  0.041
HV2538  1.142118 51.2 1.3 18.55 0.06 -4.39 -5.28 -5.70 -6.14 -6.19 -6.64 -6.53 0.100 -0.040 -0.019
HV5655  1.152657 60.7 1.7 18.91 0.06 -4.69 -5.53 -5.96 -6.41 -6.47 -6.84 -6.81 0.100 -0.015  0.046
HV1006  1.152786 44.1 2.0 18.22 0.10 -4.17 -4.95 -5.48 -5.90 -5.95 -6.15 -6.28 0.100  0.005 -0.010
HV12505 1.158115 53.9 0.8 18.66 0.03 -4.14 -5.04 -5.63 -6.11 -6.17 -6.43 -6.55 0.100 -0.005  0.031
HV2282  1.166636 48.2 0.9 18.42 0.04 -4.41 -5.19 -5.66 -6.07 -6.12 -6.38 -6.44 0.100  0.015  0.051
HV2549  1.210289 41.8 1.3 18.10 0.07 -4.50 -5.31 -5.69 -6.06 -6.13 -6.56 -6.43 0.058  0.020  0.052
HV1005  1.272209 49.9 0.9 18.49 0.04 -4.72 -5.47 -5.98 -6.41 -6.45 -6.62 -6.77 0.100  0.015 -0.023
U1      1.353098 52.8 0.6 18.61 0.02 -4.82 -5.70 -6.28 -6.74 -6.80 -7.07 -7.16 0.100  0.010  0.060
HV876   1.356342 47.6 0.5 18.39 0.02 -5.06 -5.86 -6.27 -6.67 -6.71 -7.10 -7.02 0.100  0.005  0.005
HV878   1.367445 49.2 1.1 18.46 0.05 -5.11 -5.66 -6.35 -6.75 -6.80 -6.52 -7.12 0.058  0.055 -0.010
HV12815 1.416910 46.5 0.8 18.34 0.04 -5.08 -5.96 -6.48 -6.94 -6.99 -7.32 -7.35 0.070 -0.030 -0.075
HV1023  1.424235 46.3 0.7 18.33 0.03 -4.77   --- -6.28 -6.75 -6.79   --- -7.15 0.070  0.025 -0.049
HV899   1.492039 56.2 0.4 18.75 0.01 -5.71 -6.52 -7.02 -7.45 -7.50 -7.78 -7.82 0.110  0.025  0.018
HV873   1.537311 49.7 1.2 18.48 0.05 -5.87   --- -7.08 -7.46 -7.50   --- -7.79 0.130  0.080 -0.010
HV881   1.552820 51.2 2.5 18.55 0.10 -5.55   --- -6.97 -7.41 -7.50   --- -7.85 0.030  0.062 -0.065
HV879   1.566167 48.9 1.0 18.45 0.05 -5.27 -6.25 -6.84 -7.32 -7.39 -7.75 -7.78 0.060  0.015  0.044
HV909   1.574986 46.1 0.8 18.32 0.04 -5.75 -6.52 -6.97 -7.36 -7.43 -7.70 -7.74 0.058  0.048 -0.065
HV2257  1.595153 55.6 0.8 18.73 0.03 -5.90 -6.80 -7.35 -7.81 -7.87 -8.19 -8.22 0.060  0.054 -0.005
HV2338  1.625350 51.8 0.5 18.57 0.02 -5.95 -6.83 -7.36 -7.80 -7.86 -8.19 -8.21 0.040  0.070 -0.015
HV877   1.655215 44.2 0.3 18.23 0.02 -5.21   --- -6.80 -7.31 -7.36   --- -7.74 0.100  0.070  0.017
HV900   1.675637 60.0 2.0 18.89 0.07 -6.32   --- -7.72 -8.17 -8.25   --- -8.62 0.058  0.042 -0.060
HV2369  1.684646 47.5 1.6 18.39 0.07 -6.02   --- -7.46 -7.90 -7.96   --- -8.29 0.095  0.005 -0.029
HV2827  1.896354 44.3 1.4 18.23 0.07 -6.18 -7.20 -7.81 -8.29 -8.36 -8.75 -8.73 0.080  0.035 -0.079
